                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                0.66938,                0.43359,                 1.1294,                0.94023,                 0.8987,                0.93817,                 0.6992,                 0.9755,                0.52164,                 1.4935,             0.00068488,             0.00068488,             0.00068488
                    139,                0.64703,                0.42143,                 1.1186,                 0.9644,                0.88589,                0.93666,                0.70216,                0.98688,                0.53155,                 1.5021,             0.00068075,             0.00068075,             0.00068075
                    140,                0.64358,                0.42906,                 1.1286,                0.95647,                0.88202,                0.93752,                0.68775,                0.99411,                0.51593,                 1.4975,             0.00067663,             0.00067663,             0.00067663
                    141,                0.63405,                0.42344,                 1.1193,                0.95183,                0.89645,                0.93387,                0.68921,                 1.0026,                0.51673,                 1.5131,              0.0006725,              0.0006725,              0.0006725
                    142,                 0.6476,                  0.419,                 1.1253,                0.96033,                0.85708,                0.92039,                0.67679,                 1.0064,                0.54412,                 1.5235,             0.00066838,             0.00066838,             0.00066838
                    143,                0.64058,                0.42477,                 1.1125,                0.94189,                0.89207,                0.93549,                 0.6856,                  1.003,                0.53189,                 1.5356,             0.00066425,             0.00066425,             0.00066425
                    144,                0.65057,                0.43034,                 1.1154,                0.93728,                0.91147,                0.94552,                0.69717,                0.99955,                0.50468,                 1.5454,             0.00066013,             0.00066013,             0.00066013
                    145,                0.63914,                0.42888,                 1.1176,                0.91415,                0.90542,                 0.9382,                0.68395,                0.99041,                0.52646,                 1.5293,               0.000656,               0.000656,               0.000656
                    146,                0.64636,                0.42792,                 1.1311,                0.96979,                0.87953,                 0.9381,                0.69494,                0.98164,                0.53365,                 1.4952,             0.00065188,             0.00065188,             0.00065188
                    147,                0.65209,                0.42684,                 1.1212,                 0.9494,                0.90566,                0.94164,                0.69638,                 1.0075,                0.50051,                 1.5321,             0.00064775,             0.00064775,             0.00064775
